Fecha,Ticker,Ratio1,Ratio2,Ratio3,Ratio4,Ratio5,Ratio6,Ratio7,Ratio8,Ratio9,Ratio10,Ratio11,Ratio12,Ratio13,Ratio14,Ratio15,Ratio16,Ratio17,Ratio18,Ratio19,Ratio20,Ratio21,Ratio22,Ratio23,Ratio24,Ratio25,Ratio26,IssuerRating,SovereignRating
30/06/2015,IQ337183,0.023319655,0.308693,4.66426759,0.042247677,0.748190023,14.84298468,4.724005685,1.092113979,21.0202,-0.013234144,0.483724829,5.388663627,-3.7636,0.012136593,0.2348105,7.467123482,0.011444442,0.751383839,10.4265942,85.20032789,1.020608721,22.81455,0.093873365,0.432187022,5.509673946,24.6506,B,AA+
30/09/2015,IQ337183,0.017483296,0.276871,5.45091406,0.045720807,0.741121217,12.50889619,3.851546629,0.601966711,14.7587,-0.036387818,0.471368792,5.27004518,-9.6708,0.013518802,0.246367,7.033957598,0.022687488,0.74896926,11.11501365,41.39889579,0.916806633,23.726125,0.007966375,0.440944599,5.429660602,2.4967,B,AA+
31/12/2015,IQ337183,0.004379034,0.183497,9.196678451,0.001742353,0.75794662,7.390343954,59.79406101,0.826724691,-10.4735,-0.020504825,0.430332217,5.696092808,-5.4156,0.013099063,0.24198925,7.008092493,0.02273433,0.75008006,10.83126439,39.57416562,0.865067905,11.837375,-0.009606557,0.450755474,5.480997206,-1.613,B,AA+
31/03/2016,IQ337183,0.008485741,0.214062,7.690806159,0,0.775379727,8.949010428,NaN,0.92007498,5.5187,-0.023439211,0.452034683,6.32854934,-6.9712,0.013416932,0.24578075,6.750666565,0.022427709,0.755659397,10.92280881,22.78987111,0.86022009,7.706025,-0.0233915,0.45936513,5.670837739,-6.4553,B,AA+
30/06/2016,IQ337183,0.022334681,0.295055,4.882013783,0,0.776066961,13.88828117,NaN,0.949546668,-8.2481,0.056093127,0.516896215,6.442666629,18.4792,0.013170688,0.24237125,6.805103113,0.01186579,0.762628631,10.68413294,31.82280382,0.824578263,0.38895,-0.006059682,0.467657977,5.934338489,-0.8946,B,AA+
30/09/2016,IQ337183,0.020824154,0.286664,4.964910988,0,0.768802777,12.9505869,NaN,0.917023682,2.8817,-0.022784245,0.51963446,6.421484831,-3.0728,0.014005903,0.2448195,6.683602345,0.000435588,0.769549021,10.79455561,59.79406101,0.903342506,-2.5803,-0.002658789,0.479724394,6.222198402,0.7549,B,AA+
31/12/2016,IQ337183,0.009112573,0.219156,7.511121108,0,0.783980008,8.809372543,NaN,0.935166657,4.8509,0.000652828,0.459424565,6.765342073,0.046,0.015189287,0.25373425,6.26221301,0,0.776057368,11.14931276,NaN,0.930452997,1.2508,0.002630625,0.486997481,6.489510718,2.1203,B,AA+
31/03/2017,IQ337183,0.005754792,0.199532,8.691430759,0,0.805984531,7.623726443,NaN,0.919234039,-16.5603,-0.191042378,0.447513191,8.29821754,-64.2052,0.01450655,0.25010175,6.512369159,0,0.783708569,10.81799177,NaN,0.930242762,-4.26895,-0.039270167,0.485867108,6.981927768,-12.1882,B,AA+
30/06/2017,IQ337183,0.020651082,0.281688,5.224053194,0,0.807629683,12.56780204,NaN,1.503726287,-10.7225,-0.007952655,0.525368937,8.949740919,-3.7412,0.01408565,0.24676,6.597879012,0,0.79159925,10.48787198,NaN,1.068787666,-4.88755,-0.055281612,0.487985288,7.608696341,-17.7433,B,AA+
30/09/2017,IQ337183,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011839482,0.233458667,7.142201687,0,0.799198074,9.666967007,NaN,1.119375661,-7.4773,-0.066114068,0.477435564,8.004433511,-22.63346667,NaN,AA+
30/09/2012,IQ270961,0.005115634,NaN,NaN,0.471861191,0.130980653,NaN,NaN,0.075114661,NA,0.232841565,0.05308002,8.532427918,10.5532,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,BBB,AA+
31/12/2012,IQ270961,0.005471967,NaN,NaN,0.616164943,0.124542635,NaN,NaN,0.099258071,NA,0.239039039,0.054637636,8.856001162,11.4768,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,BBB,AA+
31/03/2013,IQ270961,0.004547627,NaN,NaN,0.30730164,0.098952069,NaN,NaN,0.074311775,NA,0.279470199,0.049760261,8.719971264,11.9056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,BBB,AA+
30/06/2013,IQ270961,0.00607166,NaN,NaN,0.34274079,0.085595006,NaN,NaN,0.069063349,NA,0.338294219,0.056647211,8.640470687,16.7676,0.005301722,NaN,NaN,0.434517141,0.110017591,NaN,NaN,0.079436964,NaN,0.272411255,0.053531282,8.687217758,12.6758,BBB,AA+
30/09/2013,IQ270961,0.004814081,NaN,NaN,0.358167552,0.100395471,NaN,NaN,0.062718638,NA,0.274267101,0.048856954,8.560831063,11.6308,0.005226334,NaN,NaN,0.406093731,0.102371295,NaN,NaN,0.076337958,NaN,0.282767639,0.052475516,8.694318544,12.9452,BBB+,AA+
31/12/2013,IQ270961,0.004070744,NaN,NaN,0.200580913,0.092377514,NaN,NaN,0.087666075,NA,0.272113437,0.045414472,8.91856967,10.9736,0.004876028,NaN,NaN,0.302197724,0.094330015,NaN,NaN,0.073439959,NaN,0.291036239,0.050169725,8.709960671,12.8194,BBB+,AA+
31/03/2014,IQ270961,0.003347371,NaN,NaN,0.243110303,0.114466195,NaN,NaN,0.058217736,NA,0.235207101,0.041711015,8.722685684,8.6536,0.004575964,NaN,NaN,0.286149889,0.098208546,NaN,NaN,0.06941645,NaN,0.279970464,0.048157413,8.710639276,12.0064,BBB+,AA+
30/06/2014,IQ270961,0.004948628,NaN,NaN,0.219532648,0.134940632,NaN,NaN,0.060096556,NA,0.278200253,0.047615455,8.547975239,11.5632,0.004295206,NaN,NaN,0.255347854,0.110544953,NaN,NaN,0.067174751,NaN,0.264946973,0.045899474,8.687515414,10.7053,BBB+,AA+
30/09/2014,IQ270961,0.003301338,NaN,NaN,0.198703259,0.133327868,NaN,NaN,0.057170439,NA,0.261941448,0.038691984,8.689244318,8.788,0.00391702,NaN,NaN,0.21548178,0.118778052,NaN,NaN,0.065787701,NaN,0.26186556,0.043358232,8.719618728,9.9946,BBB+,AA+
31/12/2014,IQ270961,0.004174297,NaN,NaN,0.183229814,0.127680129,NaN,NaN,0.08505006,NA,0.264060357,0.042045766,8.854516438,9.9008,0.003942908,NaN,NaN,0.211144006,0.127603706,NaN,NaN,0.065133698,NaN,0.25985229,0.042516055,8.703605419,9.7264,BBB+,AA+
31/03/2015,IQ270961,0.004036449,NaN,NaN,0.169277144,0.120445647,NaN,NaN,0.061833767,NA,0.24845148,0.041375383,8.832369215,9.148,0.004115178,NaN,NaN,0.192685716,0.129098569,NaN,NaN,0.066037705,NaN,0.263163385,0.042432147,8.731026302,9.85,BBB+,AA+
30/06/2015,IQ270961,0.003021361,NaN,NaN,0.280185264,0.132601053,NaN,NaN,0.058214701,NA,0.235602094,0.037752898,9.058575265,7.8368,0.003633361,NaN,NaN,0.20784887,0.128513674,NaN,NaN,0.065567242,NaN,0.252513845,0.039966508,8.858676309,8.9184,BBB+,AA+
30/09/2015,IQ270961,0.004185516,NaN,NaN,0.284733739,0.152961569,NaN,NaN,0.05980892,NA,0.254,0.042277935,8.949300038,9.6772,0.003854406,NaN,NaN,0.22935649,0.1334221,NaN,NaN,0.066226862,NaN,0.250528483,0.040862995,8.923690239,9.1407,BBB+,AA+
31/12/2015,IQ270961,0.006457238,NaN,NaN,0.34143167,0.13070413,NaN,NaN,0.07154473,NA,0.356715606,0.05213989,8.889855072,16.5404,0.004425141,NaN,NaN,0.268906954,0.1341781,NaN,NaN,0.062850529,NaN,0.273692295,0.043386526,8.932524898,10.8006,BBB+,AA+
31/03/2016,IQ270961,0.003664958,NaN,NaN,0.232023684,0.139921365,NaN,NaN,0.052754101,NA,0.223055935,0.041171102,8.708651788,8.1176,0.004332268,NaN,NaN,0.284593589,0.139047029,NaN,NaN,0.060580613,NaN,0.267343409,0.043335456,8.901595541,10.543,BBB+,AA+
30/06/2016,IQ270961,0.003293299,NaN,NaN,0.237873879,0.148281984,NaN,NaN,0.054313567,NA,0.23566879,0.03935248,8.572579682,7.9492,0.004400252,NaN,NaN,0.274015743,0.142967262,NaN,NaN,0.05960533,NaN,0.267360083,0.043735352,8.780096645,10.5711,BBB+,AA+
30/09/2016,IQ270961,0.003001138,NaN,NaN,0.207116703,0.148674963,NaN,NaN,0.052298851,NA,0.37913299,0.037995798,8.52648179,12.3008,0.004104158,NaN,NaN,0.254611484,0.14189561,NaN,NaN,0.057727812,NaN,0.29864333,0.042664818,8.674392083,11.227,BBB+,AA+
